;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Data Logged, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Node Name, Address, Scan Class,  System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;Folders Section (Must define folders before tags)
"F","DKSystem","","F"
"F","dkSystem\chart","","F"
"F","H","","F"
"F","H\A","","F"
"F","H\AA","","F"
"F","H\C","","F"
"F","H\C1","","F"
"F","H\C1\C","","F"
"F","H\C1\S","","F"
"F","H\S","","F"
"F","S1","","F"
"F","S1\C","","F"
"F","S1\S","","F"
"F","S2","","F"
"F","S2\C","","F"
"F","S2\S","","F"
"F","S3","","F"
"F","S3\C","","F"
"F","S3\S","","F"
"F","simulationtags","","F"

;Tag Section
"A","dkSystem\chart\CurrentFile","Current datalog file displayed by trend.","F","M","*","F","F","I","L",-10000,10000,0,1,0,0,"",,,,,,,,,,,,,,
"A","dkSystem\chart\CurrentPen","Current trend pen selected.","F","M","*","F","F","I","L",0,16,0,1,0,0,"",,,,,,,,,,,,,,
"A","dkSystem\chart\NewestFile","Offset to the newest data log file.","F","M","*","F","F","I","L",-10000,10000,0,1,0,0,"",,,,,,,,,,,,,,
"A","dkSystem\chart\NewestTime","Time of newest data available to trend","F","M","*","F","F","L","L",-2147483647,2147483647,0,1,0,0,"",,,,,,,,,,,,,,
"A","dkSystem\chart\OldestFile","Offset to the oldest data log file.","F","M","*","F","F","I","L",-10000,10000,0,1,0,0,"",,,,,,,,,,,,,,
"A","dkSystem\chart\OldestTime","Time of oldest data available to trend.","F","M","*","F","F","L","L",-2147483647,2147483647,0,1,0,0,"",,,,,,,,,,,,,,
"D","dkSystem\chart\Paused","Pause trend display at current time","F","M","*","F","F",,,,,,,,,,"Resumed","Paused","Resumed",,,,,,,,,,,
"A","dkSystem\chart\PenMask","Enable/disable display of trend pens","F","M","*","F","F","L","L",-2147483647,2147483647,0,1,0,0,"",,,,,,,,,,,,,,
"A","dkSystem\chart\StartTime","Current start time of the trend.","F","M","*","F","F","L","L",-2147483647,2147483647,0,1,0,0,"",,,,,,,,,,,,,,
"S","dkSystem\chart\StartTimeDate","Start Date","F","M","*","F","F",,,,,,,,,,,,,82,"",,,,,,,,,
"A","dkSystem\chart\TimeRange","Time range in seconds of trend display","F","M","*","F","F","L","L",1,2147483647,60,1,0,0,"",,,,,,,,,,,,,,
"D","dkSystem\chart\Updating","Is datamodel in the process of updating","F","M","*","F","F",,,,,,,,,,"Finished Updating","Updating","Finished Updating",,,,,,,,,,,
"A","dkSystem\chart\YMag","Magnification of trend Y axis.","F","M","*","F","F","F","F",-10000,10000,0,1,0,0,"",,,,,,,,,,,,,,
"A","dkSystem\chart\YOffset","Offset of trend Y axis.","F","M","*","F","F","F","F",-10000,10000,0,1,0,0,"",,,,,,,,,,,,,,
"D","DKSystem\CommsEnabled","Comms enabled","F","M","*","F","F",,,,,,,,,,"Off","On","On",,,,,,,,,,,
"D","DKSystem\DataLogRunning","Data log runnijng","F","M","*","F","F",,,,,,,,,,"Off","On","Off",,,,,,,,,,,
"S","DKSystem\Projectname","Project name and version","F","M","*","F","F",,,,,,,,,,,,,255,"Cramlington Z16 V0.3",,,,,,,,,
"D","DKSystem\SimulationRunning","Simulation Running","F","M","*","F","F",,,,,,,,,,"Off","On","Off",,,,,,,,,,,
"D","DKSystem\WatchDogRunning","Watch Dog Running","F","M","*","F","F",,,,,,,,,,"Off","On","On",,,,,,,,,,,
"D","DKSystem\WatchDogSimulating","Watch Dog Simulationg","F","M","*","F","F",,,,,,,,,,"Off","On","Off",,,,,,,,,,,
"D","Finished","MES finished","F","D","P","F","F",,,,,,,,,,"Off","On","Off",,,"HSH","DB60KM0.1","A",,,,,,
